Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
gndblwq,P,8/6/2018 18:15,0,0,,33.6,<0> ,35.21,<0> ,22,<0> ,115.1,<0> ,7.3,<0> ,0.5,<0> ,0.44,<3> ,7.7,<0> ,9,<0> 
gndblwq,P,8/6/2018 18:30,0,0,,33.7,<0> ,35.27,<0> ,22,<0> ,112.6,<0> ,7.1,<0> ,0.51,<0> ,0.45,<3> ,7.7,<0> ,10,<0> 
gndblwq,P,8/6/2018 18:45,0,0,,33.8,<0> ,35.54,<0> ,22.2,<0> ,111,<0> ,7,<0> ,0.52,<0> ,0.46,<3> ,7.7,<0> ,17,<0> 
gndblwq,P,8/6/2018 19:00,0,0,,33.4,<0> ,35.2,<0> ,22,<0> ,111.7,<0> ,7.1,<0> ,0.54,<0> ,,<-1> [GCU],7.7,<0> ,12,<0> 
gndblwq,P,8/6/2018 19:15,0,0,,33.5,<0> ,35.36,<0> ,22.1,<0> ,111.2,<0> ,7,<0> ,0.55,<0> ,0.49,<3> ,7.7,<0> ,13,<0> 
gndblwq,P,8/6/2018 19:30,0,0,,33.6,<0> ,35.44,<0> ,22.1,<0> ,109.8,<0> ,6.9,<0> ,0.57,<0> ,0.51,<3> ,7.7,<0> ,14,<0> 
gndblwq,P,8/6/2018 19:45,0,0,,33.6,<0> ,35.81,<0> ,22.4,<0> ,103.2,<0> ,6.5,<0> ,0.58,<0> ,0.52,<3> ,7.7,<0> ,14,<0> 
gndblwq,P,8/6/2018 20:00,0,0,,33.5,<0> ,35.84,<0> ,22.4,<0> ,102.9,<0> ,6.5,<0> ,0.59,<0> ,,<-1> [GCU],7.7,<0> ,14,<0> 
gndblwq,P,8/6/2018 20:15,0,0,,33.2,<0> ,35.67,<0> ,22.3,<0> ,102.3,<0> ,6.5,<0> ,0.6,<0> ,0.53,<3> ,7.7,<0> ,12,<0> 
gndblwq,P,8/6/2018 20:30,0,0,,32.9,<0> ,35.66,<0> ,22.3,<0> ,100.4,<0> ,6.4,<0> ,0.61,<0> ,0.54,<3> ,7.7,<0> ,10,<0> 
gndblwq,P,8/6/2018 20:45,0,0,,32.9,<0> ,35.66,<0> ,22.3,<0> ,97.1,<0> ,6.2,<0> ,0.61,<0> ,0.55,<3> ,7.6,<0> ,10,<0> 
gndblwq,P,8/6/2018 21:00,0,0,,32.8,<0> ,35.67,<0> ,22.3,<0> ,95.7,<0> ,6.1,<0> ,0.62,<0> ,,<-1> [GCU],7.6,<0> ,9,<0> 
gndblwq,P,8/6/2018 21:15,0,0,,33,<0> ,35.93,<0> ,22.5,<0> ,93.3,<0> ,5.9,<0> ,0.62,<0> ,0.56,<3> ,7.6,<0> ,15,<0> 
gndblwq,P,8/6/2018 21:30,0,0,,32.7,<0> ,35.73,<0> ,22.3,<0> ,93.8,<0> ,6,<0> ,0.63,<0> ,0.57,<3> ,7.6,<0> ,7,<0> 
gndblwq,P,8/6/2018 21:45,0,0,,32.7,<0> ,35.85,<0> ,22.4,<0> ,93.7,<0> ,6,<0> ,0.64,<0> ,0.57,<3> ,7.6,<0> ,10,<0> 
gndblwq,P,8/6/2018 22:00,0,0,,32.6,<0> ,35.81,<0> ,22.4,<0> ,94.5,<0> ,6.1,<0> ,0.65,<0> ,,<-1> [GCU],7.6,<0> ,9,<0> 
gndblwq,P,8/6/2018 22:15,0,0,,32.6,<0> ,35.79,<0> ,22.4,<0> ,90.2,<0> ,5.8,<0> ,0.66,<0> ,,<-1> [GCU],7.6,<0> ,10,<0> 
